"latin name","polish name","english name","category","status"
"Cepphus grylle","nurnik","Black guillemot","A","P"
"Alca torda","alka","Razorbill","A","P"
"Alle alle","alczyk","Little auk","A","Z"
"Uria lomvia","nurzyk polarny","Thick-billed murre","A","z"
"Uria aalge","nurzyk","Common murre","A","P"
"Stercorarius longicaudus","wydrzyk długosterny","Long-tailed jaeger","A","Z"
"Stercorarius parasiticus","wydrzyk ostrosterny","Parasitic jaeger","A","P"
"Stercorarius pomarinus","wydrzyk tęposterny","Pomarine jaeger","A","Z"
"Stercorarius skua","wydrzyk wielki","Great skua","A","Z"
"Pagophila eburnea","mewa modrodzioba","Ivory gull","A","z"
"Xema sabini","mewa obrożna","Sabine's gull","A","Z"
"Rissa tridactyla","mewa trójpalczasta","Black-legged kittiwake","A","P"
"Chroicocephalus genei","mewa cienkodzioba","Slender-billed gull","A","Z"
"Chroicocephalus ridibundus","śmieszka","Black-headed gull","A","L"
"Hydrocoloeus minutus","mewa mała","Little gull","A","(l) P"
"Rhodostethia rosea","mewa różowa","Ross's gull","A","z"
"Leucophaeus atricilla","mewa karaibska","Laughing gull","A","z"
"Ichthyaetus audouinii","mewa śródziemnomorska","Audouin's gull","A","z"
"Ichthyaetus melanocephalus","mewa czarnogłowa","Mediterranean gull","A","l P"
"Ichthyaetus ichthyaetus","orlica","Pallas's gull","A","Z"
"Larus canus","mewa siwa","Common gull","A","L"
"Larus delawarensis","mewa delawarska","Ring-billed gull","A","Z"
"Larus fuscus","mewa żółtonoga","Lesser black-backed gull","A","l P"
"Larus argentatus","mewa srebrzysta","European herring gull","A","L"
"Larus smithsonianus","mewa popielata","American herring gull","A","z"
"Larus michahellis","mewa romańska","Yellow-legged gull","A","l P"
"Larus cachinnans","mewa białogłowa","Caspian gull","A","L"
"Larus hyperboreus","mewa blada","Glaucous gull","A","Z"
"Larus glaucoides","mewa polarna","Iceland gull","A","Z"
"Larus schistisagus","mewa ochocka","Slaty-backed gull","A","z"
"Larus marinus","mewa siodłata","Great black-backed gull","A","P"
"Gelochelidon nilotica","rybitwa krótkodzioba","Gull-billed tern","A","Z"
"Hydroprogne caspia","rybitwa wielkodzioba","Caspian tern","A","P"
"Thalasseus sandvicensis","rybitwa czubata","Sandwich tern","A","L"
"Sterna dougallii","rybitwa różowa","Roseate tern","A","z"
"Sterna hirundo","rybitwa rzeczna","Common tern","A","L"
"Sterna paradisaea","rybitwa popielata","Arctic tern","A","(l) P"
"Sternula albifrons","rybitwa białoczelna","Little tern","A","L"
"Chlidonias hybrida","rybitwa białowąsa","Whiskered tern","A","L"
"Chlidonias niger","rybitwa czarna","Black tern","A","L"
"Chlidonias leucopterus","rybitwa białoskrzydła","White-winged tern","A","L"
"Gavia stellata","nur rdzawoszyi","Red-throated loon","A","P"
"Gavia arctica","nur czarnoszyi","Black-throated loon","A","(l) P"
"Gavia pacifica","nur pacyficzny","Pacific loon","A","z"
"Gavia immer","lodowiec","Common loon","A","Z"
"Gavia adamsii","nur białodzioby","Yellow-billed loon","A","Z"
"Oceanites oceanicus","oceannik żółtopłetwy","Wilson's storm petrel","A","z"
"Hydrobates pelagicus","nawałnik burzowy","European storm petrel","A","Z"
"Hydrobates leucorhous","nawałnik duży","Leach's storm petrel","A","Z"
"Fulmarus glacialis","fulmar","Northern fulmar","A","Z"
"Calonectris diomedea","burzyk żółtodzioby","Scopoli's shearwater","A","z"
"Ardenna grisea","burzyk szary","Sooty shearwater","A","Z"
"Puffinus puffinus","burzyk północny","Manx shearwater","A","z"
"Puffinus mauretanicus","burzyk balearski","Balearic shearwater","A","z"
"Ciconia nigra","bocian czarny","Black stork","A","L"
"Ciconia ciconia","bocian biały","White stork","A","L"
